航班,状态,出发地,预计起飞,实际起飞,航站楼,登机口
MU9920,已到达,['西安'],08:45,08:39,T2,29
KN2217,已到达,['天津'],08:50,08:42,T2,29
MU5516,已到达,['青岛'],08:55,08:34,T2,28
MU9694,已到达,['太原'],08:55,08:46,T2,29
MU5138,已到达,"['北京', '首都机场']",09:20,09:12,T2,31
FM9460,已到达,['贵阳'],09:40,09:26,T2,27
KN5737,已到达,"['北京', '南苑机场']",09:50,09:55,T2,29
MU2501,已到达,['武汉'],09:55,09:28,T2,29
FM9168,已到达,['呼和浩特'],09:55,09:36,T2,27
MU5102,已到达,"['北京', '首都机场']",10:15,09:58,T2,31
MU2408,已到达,['太原'],10:30,10:09,T2,29
FM9280,已到达,['阜阳'],10:35,10:21,T2,27
MU5156,已到达,"['北京', '首都机场']",10:40,10:31,T2,31
MU5276,已到达,['银川'],10:40,10:27,T2,29
MU5341,已到达,['烟台'],10:45,11:05,T2,29
MU5304,已到达,['广州'],10:45,10:29,T2,28
MU2220,已到达,['成都'],10:55,11:13,T2,29
FM9206,已到达,['福州'],11:00,10:57,T2,27
MU5104,已到达,"['北京', '首都机场']",11:15,11:01,T2,31
MU2151,已到达,['西安'],11:15,10:59,T2,29
MU5801,已到达,['昆明'],11:20,11:03,T2,30
FM9416,已到达,['连云港'],11:25,11:24,T2,27
MU5572,已到达,['济南'],11:35,10:54,T2,30
FM9074,已到达,['烟台'],11:35,11:46,T2,27
MU5334,已到达,['深圳'],11:40,12:06,T2,30
MU5406,已到达,['成都'],11:45,11:33,T2,29
FM9228,已到达,['长沙'],11:50,12:15,T2,27
MU5314,已到达,['广州'],11:50,11:49,T2,28
MU2507,已到达,['武汉'],11:55,11:58,T2,29
MU5803,已到达,['昆明'],11:55,11:54,T2,30
FM9246,已到达,['南昌'],12:00,11:28,T2,27
FM9308,已到达,['广州'],12:10,12:33,T2,28
MU5106,已到达,"['北京', '首都机场']",12:15,12:01,T2,31
MU2153,已到达,['西安'],12:15,12:29,T2,29
MU2153,已到达,['西宁'],12:15,12:29,T2,29
MU9719,已到达,['丽江'],12:30,12:19,T2,30
MU2433,已到达,['洛阳'],12:35,12:13,T2,29
MU2433,已到达,['鄂尔多斯'],12:35,12:13,T2,29
MU5336,已到达,['深圳'],12:40,13:26,T1,9
MU5404,已到达,['成都'],12:40,12:31,T2,29
MU5396,已到达,['郑州'],12:45,12:45,T2,30
FM9264,已到达,['厦门'],12:55,12:22,T2,28
MU5364,已到达,['长沙'],13:00,13:14,T2,30
MU5302,已到达,['广州'],13:05,13:22,T2,28
FM9164,已到达,['太原'],13:10,13:10,T2,27
MU2155,已到达,['西安'],13:15,13:12,T2,29
MU2155,已到达,['榆林'],13:15,13:12,T2,29
MU5108,已到达,"['北京', '首都机场']",13:20,13:04,T2,31
MU5518,已到达,['青岛'],13:30,13:52,T2,28
MU5518,已到达,['哈尔滨'],13:30,13:52,T2,28
FM9464,已到达,['贵阳'],13:35,13:18,T2,27
FM9148,已到达,['天津'],13:40,14:17,T2,28
MU5338,已到达,['深圳'],13:45,13:50,T2,30
FM9304,已到达,['广州'],13:50,14:43,T1,9
FM9220,已到达,['乌鲁木齐'],13:55,14:57,T2,26
KN5324,已到达,"['北京', '大兴机场']",14:00,12:00,T2,29
MU5805,已到达,['昆明'],14:10,14:48,T2,30
MU2157,已到达,['西安'],14:15,14:14,T2,29
MU2386,-,['西安'],14:15,待定,-,待定
FM9340,已到达,['南宁'],14:15,14:29,T2,27
MU2386,已到达,['中卫'],14:15,08:46,T2,308
MU5110,已到达,"['北京', '首都机场']",14:20,13:57,T2,31
FM9538,已到达,['三亚'],14:20,14:26,T2,27
FM9422,已到达,['重庆'],14:25,14:24,T2,27
FM9514,已到达,['珠海'],14:30,15:10,T2,27
MU5540,已到达,['安庆'],14:45,15:00,T2,29
FM9332,已到达,['深圳'],14:45,15:38,T1,9
MU5540,已到达,['桂林'],14:45,15:00,T2,29
MU5666,已到达,['厦门'],14:50,14:52,T2,28
MU2521,已到达,['武汉'],14:55,16:07,T2,29
MU5204,已到达,['柳州'],14:55,15:04,T2,29
FM9310,已到达,['广州'],14:55,15:27,T2,28
FM9214,已到达,['兰州'],15:00,14:37,T2,27
