航班,状态,目的地,预计到达,实际到达,航站楼,登机口
MU5539,已到达,['桂林'],06:05,06:30,T2,51
MU5539,已到达,['安庆'],06:05,06:30,T2,51
MU5459,已到达,['乌海'],06:35,06:41,T2,53
MU5459,已到达,['呼和浩特'],06:35,06:41,T2,53
MU5633,已到达,['喀什'],06:45,06:43,T2,65
MU5633,已到达,['乌鲁木齐'],06:45,06:43,T2,65
FM9463,已到达,['贵阳'],06:45,06:58,T2,35
FM9279,已到达,['阜阳'],06:45,06:53,T2,24
FM9535,已到达,['湛江'],06:50,06:54,T2,62
FM9229,已到达,['鸡西'],06:50,07:13,T2,51
FM9073,已到达,['烟台'],06:50,07:03,T2,26
FM9535,已到达,['厦门'],06:50,06:54,T2,62
FM9229,已到达,['青岛'],06:50,07:13,T2,51
FM9537,已到达,['三亚'],06:55,07:10,T2,41
FM9205,已到达,['福州'],06:55,07:05,T2,42
MU5137,已到达,"['北京', '首都机场']",07:00,07:08,T2,60
FM9163,已到达,['太原'],07:05,08:04,T2,47
FM9227,已到达,['长沙'],07:05,07:17,T2,43
MU5571,已到达,['济南'],07:10,07:24,T2,53
MU5389,已到达,"['北京', '首都机场']",07:20,07:39,T2,51
MU5389,已到达,['洛阳'],07:20,07:39,T2,51
MU2510,已到达,['武汉'],07:20,07:29,T2,63
MU9720,已到达,['丽江'],07:25,07:56,T2,70
FM9263,已到达,['厦门'],07:25,08:02,T2,72
FM9307,已到达,['广州'],07:30,07:45,T2,21
FM9245,已到达,['南昌'],07:30,07:35,T2,36
MU5395,已到达,['郑州'],07:35,07:52,T2,53
MU5814,已到达,['腾冲'],07:40,08:12,T2,28
MU5965,已到达,['临沧'],07:40,14:10,T2,52
FM9213,已到达,['兰州'],07:40,07:55,T2,71
MU5814,已到达,['昆明'],07:40,08:12,T2,28
MU5965,-,['昆明'],07:40,待定,-,待定
FM9421,已到达,['重庆'],07:55,08:14,T2,50
MU5401,已到达,['成都'],08:00,08:19,T2,67
FM9331,已到达,['深圳'],08:00,08:16,T2,51
MU5101,已到达,"['北京', '首都机场']",08:00,08:09,T2,48
MU5363,已到达,['长沙'],08:05,08:17,T2,53
FM9415,已到达,['连云港'],08:05,08:35,T2,54
KN5325,已到达,"['北京', '大兴机场']",08:10,08:10,T2,43
MU2285,已到达,['威海'],08:10,08:39,T2,75
MU9979,已到达,['青岛'],08:10,09:08,T2,41
FM9453,已到达,['西双版纳'],08:15,08:41,T2,49
FM9453,已到达,['昆明'],08:15,08:41,T2,49
FM9147,未起飞,"['上海', '虹桥机场']",08:15,待定,T2,74
FM9147,已到达,['天津'],08:15,09:50,T2,待定
MU2152,已到达,['西安'],08:20,08:45,T2,61
FM9515,已到达,['温州'],08:20,08:53,T2,42
FM9301,已到达,['广州'],08:30,08:47,T2,53
MU5151,已到达,"['北京', '首都机场']",08:30,08:51,T2,30
FM9513,已到达,['珠海'],08:35,08:43,T2,73
MU5203,已到达,['柳州'],08:45,08:57,T2,54
FM9451,已到达,['昆明'],09:00,09:18,T2,37
MU5333,已到达,['深圳'],09:00,09:24,T2,57
MU5103,已到达,"['北京', '首都机场']",09:00,09:21,T2,46
MU5529,已到达,['大庆'],09:05,09:29,T2,42
MU5663,已到达,['厦门'],09:05,09:10,T2,64
MU5529,已到达,['青岛'],09:05,09:29,T2,42
FM9269,已到达,['海口'],09:10,09:27,T2,69
FM9269,已到达,['井冈山'],09:10,09:27,T2,69
MU5691,已到达,['银川'],09:15,09:42,T2,60
FM9127,已到达,['海拉尔'],09:20,09:54,T2,53
FM9127,已到达,['呼和浩特'],09:20,09:54,T2,53
FM9201,已到达,['西安'],09:25,10:00,T2,51
MU5405,已到达,['成都'],09:30,10:30,T2,54
FM9305,已到达,['广州'],09:30,09:45,T2,43
MU5153,已到达,"['北京', '首都机场']",09:30,10:14,T2,41
MU5423,已到达,['重庆'],09:35,10:04,T2,49
MU5535,已到达,['南宁'],09:50,10:02,T2,41
FM9251,已到达,['海口'],09:50,10:16,T2,51
MU5535,已到达,['武夷山'],09:50,10:02,T2,41
MU5337,已到达,['深圳'],09:55,10:12,T2,54
MU5105,已到达,"['北京', '首都机场']",10:00,10:55,T2,42
MU5393,已到达,['广州'],10:05,10:10,T2,63
FM9115,已到达,['天津'],10:10,10:42,T2,41
FM9399,已到达,['梧州'],10:15,10:48,T2,43
FM9399,已到达,['长沙'],10:15,10:48,T2,43
MU5665,已到达,['厦门'],10:15,10:46,T2,53
MU5513,已到达,['青岛'],10:15,10:36,T2,65
FM9297,已到达,['珠海'],10:25,10:38,T2,42
FM9297,已到达,['揭阳'],10:25,10:38,T2,42
MU5303,已到达,['广州'],10:30,10:44,T2,54
MU5343,已到达,['深圳'],10:55,11:07,T2,53
MU5107,已到达,"['北京', '首都机场']",11:00,11:09,T2,48
KN5738,已到达,"['北京', '南苑机场']",11:05,11:45,T2,64
MU5143,已到达,['哈尔滨'],11:10,11:40,T2,51
MU5143,已到达,['天津'],11:10,11:40,T2,51
MU2506,已到达,['武汉'],11:15,11:21,T2,61
FM9391,已到达,['长沙'],11:20,11:22,T2,54
MU5305,已到达,['广州'],11:30,11:32,T2,57
KN2318,已到达,['石家庄'],11:35,12:02,T2,62
MU2409,已到达,['呼和浩特'],11:40,13:51,T2,69
MU5275,已到达,['银川'],11:40,11:55,T2,63
MU2409,已到达,['太原'],11:40,13:51,T2,69
FM9457,已到达,['贵阳'],11:55,12:05,T2,36
MU5109,已到达,"['北京', '首都机场']",12:00,12:16,T2,60
MU5341,已到达,['深圳'],12:05,12:51,T2,74
FM9465,已到达,['鄂尔多斯'],12:10,12:24,T2,75
FM9465,已到达,['郑州'],12:10,12:24,T2,75
MU2219,已到达,['成都'],12:15,12:30,T2,42
MU2154,已到达,['嘉峪关'],12:30,12:55,T2,70
MU5301,已到达,['广州'],12:30,12:38,T2,29
MU2154,已到达,['西安'],12:30,12:55,T2,70
MU5802,已到达,['昆明'],12:35,12:43,T2,43
FM9573,已到达,['丹东'],12:35,12:56,T2,51
MU5802,已到达,['昆明'],12:35,12:43,T2,43
FM9573,已到达,['烟台'],12:35,12:56,T2,51
FM9357,已到达,['揭阳'],12:40,12:53,T2,27
MU5647,已到达,['厦门'],12:40,13:27,T2,65
MU5427,已到达,['重庆'],12:50,14:22,T2,64
FM9333,取消(计划),['深圳'],12:50,待定,T2,28
MU2469,已到达,['恩施'],12:55,13:09,T2,61
MU2469,已到达,['武汉'],12:55,13:09,T2,61
MU5111,已到达,"['北京', '首都机场']",13:00,13:15,T2,56
FM9371,已到达,['延吉'],13:05,18:18,T2,34
FM9371,已到达,['盐城'],13:05,18:18,T2,34
MU7785,已到达,['重庆'],13:10,13:11,T2,71
MU7785,已到达,['信阳市'],13:10,13:11,T2,71
MU5804,已到达,['昆明'],13:15,13:23,T2,66
